Participant,Response
8,dog
8,cat
8,fish
8,birds
8,pigs
8,cows
8,goats
8,sheep
8,horses
8,whales
8,dolphins
8,squid
8,octopus
8,salmon
8,trout
8,pickerel
8,deer
8,caribou
8,elk
8,moose
8,bear
8,raccoons
8,fox
8,coyotes
8,elephants
8,giraffes
8,rhinoceroses
8,gorillas
8,apes
8,kangaroos
9,ant
9,aardvark
9,ant eater
9,bear
9,bison
9,beaver
9,camel
9,cat
9,dog
9,dingo
9,elephant
9,emu
9,frog
9,goat
9,hippo
9,horse
9,iguana
9,jaguar
9,kangaroo
9,leopard
9,monkey
9,orangutang
9,ostrich
10,Bear
10,Elephant
10,cat
10,dog
10,orangutang
10,monkey
10,snake
10,snail
10,bird
10,fish
10,zebra
10,rhinoceros
10,alligator
10,crocodile
10,snake
10,squirrel
10,chipmunk
10,chimpanzee
10,lion
10,tiger
10,cheetah
10,panther
10,seal
1101,horses
1101,pigs
1101,chickens
1101,lamas
1101,lions
1101,zebras
1101,giraffe
1101,hippo
1101,flamingo
1101,buffalo
1101,leopard
1101,lemur
1101,squirrel
1101,owl
1101,raccoon
1101,dog
1101,cat
1101,parrot
1101,parakeet
1101,ferret
1101,mice
1101,rat
1101,hamster
1101,gerbil
1101,camel
1101,scorpion
1102,Giraffe
1102,elephant
1102,rhinoceros
1102,pig
1102,cow
1102,horse
1102,bird
1102,goat
1102,donkey
1102,chicken
1102,roaster
1102,duck
1102,cat
1102,dog
1102,guinea-pig
1102,hamster
1102,fish
1102,whale
1102,dolphin
1102,tiger
1102,cougar
1102,lion
1102,raccoon
1102,skunk
1102,beaver
1102,deer
1102,elk
1102,bear
1102,moose
1102,caribou
1102,porcupine
1103,Zebra
1103,lion
1103,tigers
1103,bears
1103,alligators
1103,iguana
1103,gorilla
1103,humans
1103,seahorses
1103,fish
1103,salamander
1103,horse
1103,monkeys
1103,hippopotamus
1103,elephant
1103,hippopotamus
1103,elephant
1103,baboon
1104,horse
1104,sheep
1104,donkey
1104,parrot
1104,dog
1104,cat
1104,bird
1104,rhino
1104,lion
1104,monkey
1104,walrus
1105,Lion
1105,tigers
1105,zebra
1105,dog
1105,cat
1105,chicken
1105,bird
1105,rhinoceros
1105,hippo
1105,giraffes
1105,mouse
1105,gerbil
1105,raccoon
1105,skunk
1105,leopard
1105,whale
1105,fish
1105,cow
1105,sheep
1105,Lamb
1105,parrot
1106,dog
1106,cat
1106,horse
1106,elephant
1106,giraffe
1106,lion
1106,zebra
1106,kangaroo
1106,crocodile
1106,fish
1106,bunny
1106,tortoise
1106,turtle
1106,alligator
1106,parrot
1106,bird
1106,goat
1106,chicken
1106,pig
1106,bear
1106,panda
1106,lizard
1106,serpent
1107,Horse
1107,sheep
1107,cow
1107,sparrow
1107,seahorse
1107,otter
1107,weasel
1107,ferret
1107,dog
1107,cat
1107,whale
1107,dolphin
1107,animals
1107,animals
1107,sheep
1107,giraffes
1107,zebras
1107,lions
1107,tigers
1107,leopards
1107,antelope
1107,deer
1107,moose
1107,bear
1108,Dog
1108,cat
1108,sheep
1108,cricket
1108,horse
1108,cow
1108,pig
1108,goat
1108,guinea pig
1108,gerbil
1108,rabbit
1108,hamster
1108,gold
1108,fish
1108,crocodile
1108,alligator
1108,butterfly
1109,Zebra
1109,kangaroo
1109,rhinoceros
1109,elephant
1109,tiger
1109,bird
1109,bat
1109,predator
1109,squirrel
1109,bird
1109,dog
1109,cat
1109,cow
1109,horse
1109,calf
1109,deer
1109,bear
1109,frog
1109,pig
1110,Lion
1110,tiger
1110,bear
1110,bird
1110,rhino
1110,snake
1110,dog
1110,cat
1110,fox
1110,mink
1110,squirrel
1110,rat
1110,mouse
1110,ferret
1111,Ant
1111,aardvark
1111,bear
1111,cat
1111,cheetah
1111,dog
1111,elephant
1111,fox
1111,emu
1111,iguana
1111,jaguar
1111,kangaroo
1111,lion
1111,orangutan
1111,ostrich
1111,giraffe
1111,buffalo
1111,wildebeest
1111,antelope
1111,gazelle
1111,deer
1111,caribou
1111,wolverine
1111,whale
1111,bat
1111,octopus
1111,fish
1111,lemur
1111,slosh
1111,wallaby
1111,wombat.
1112,Cat
1112,dog
1112,horse
1112,sheep
1112,pig
1112,cow
1112,chicken
1112,rooster
1112,rhinocerous
1112,lion
1112,cheetah
1112,leopard
1112,panther
1112,tiger
1112,zebra
1112,elephant
1112,giraffe
1112,ostrich
1112,antelope
1112,gazelle
1112,panda bear
1112,grizzly bear
1112,polar bear
1112,armadillo
1112,weasel
1112,rabbit
1112,koyote
1112,wolf
1112,fox
1112,groundhog
1112,raccoon
1112,squirrel
1113,Cat
1113,giraffe
1113,antelope
1113,cantaloupe
1113,gazelle
1113,lion
1113,narwhale
1113,dog
1113,snake
1113,crayfish
1113,lobster
1113,grasshopper
1113,shark
1113,pigeon
1113,earthworm
1113,fruit fly
1113,bat
1113,minnow
1113,rhinoceros
1113,hippopotamus
1113,tiger
1113,jaguar
1113,leopard
1113,cougar
1113,bear
1113,anteater
1114,Dog
1114,cat
1114,snake
1114,donkey
1114,lion
1114,tiger
1114,bear
1114,shark
1114,goldfish
1114,orangutan
1114,chimpanzee
1114,ape
1114,zebra
1114,rhinoceros
1114,giraffe
1114,squirrel
1114,chipmunk
1114,cat
1114,dog
1114,rat
1114,mouse
1114,hamster
1114,eagle
1114,cardinal
1114,falcon
1114,blue jay
1114,dolphin
1114,whale
1114,blue whale
1114,hammerhead shark
1114,great white
1114,shark
1114,killer whale
1114,seal
1114,seagull
1114,aardvark
1123,Ants
1123,snakes
1123,reptile
1123,mammal
1123,shark
1123,whale
1123,fish
1123,giraffe
1123,lion
1123,tiger
1123,bear
1123,zebra
1123,mussels
1123,Cray fish
1123,lobster
1123,leopard
1123,warbler
1123,eagle
1123,hawk
1123,parrot
1123,falcon
1126,Snake
1126,dog
1126,bird
1126,cat
1126,zebra
1126,giraffe
1126,penguin
1126,lion
1126,rhino
1126,elephant
1126,polar bear
1126,snake
1126,bears
1126,parrots
1126,toucans
1126,moose
1126,deer
1126,elk
1126,hamster
1126,guinea
1126,pigs
1126,capybaras
1126,rabbits
1126,lizards
1126,frogs
1135,Dog
1135,cat
1135,mouse
1135,squirrel
1135,skunk
1135,beaver
1135,antelope
1135,deer
1135,rhinoceros
1135,hippopotamus
1135,lion
1135,tiger
1135,bear
1135,Bat
1135,robin
1135,blue-jay
1135,cardinal
1135,Ape
1135,gorilla
1135,chimpanzee
1135,orangutan
1135,wolf
1135,hound
1135,salmon
1135,halibut
1135,tilapia
1135,tuna
1135,marlin
1135,shark
1135,blue whale
1135,killer whale
1161,Horse
1161,cow
1161,pig
1161,ostrich
1161,camel
1161,dog
1161,cat
1161,fish
1161,birds
1161,tigers
1161,zebra
