Participant,Response
8,Fridge
8,frig
8,fun
8,Frisbee
8,football
8,foot
8,funny
8,filibuster
8,frequent
8,finally
8,finish
9,Frog
9,fright
9,farm
9,fair
9,far
9,freak
9,frame
9,flame
9,flat
9,flit
9,fret
9,fee
9,fare
9,fist
9,flick
9,fire
9,fest
9,festival
9,from
10,Fail
10,fun
10,frolic
10,fundamental
10,funnel
10,funny
10,freeze
10,frigid
10,fright
10,frozen
10,frown
10,frizzy
10,finger
10,fling
1101,flamingo
1101,fun
1101,family
1101,forest
1101,face
1101,foot
1101,fish
1101,funnel
1102,Friend
1102,fowl
1102,folly
1102,foal
1102,fund
1102,fair
1102,fantastic
1102,frame
1102,festival
1102,frolic
1102,fun
1102,friend
1102,foe
1102,fling
1102,fly
1102,flare
1103,Fribulous
1103,fart
1103,fang
1103,flirt
1103,felt
1103,flipper
1103,Fuck
1103,frantic
1103,friend
1103,from
1103,familiar
1103,fantasia
1103,frisky
1103,fan
1103,fantastic
1103,fill
1103,flounder
1103,fish
1104,Fill
1104,foal
1104,feminine
1104,fertile
1104,febrile
1104,fur
1104,fib
1104,finger
1104,foot
1104,femur
1104,fart
1104,famous
1104,fame
1104,flight
1104,flood
1104,flounder
1104,flower
1104,flare
1104,frig
1104,frame
1104,frapuccino
1104,float
1105,fang
1105,fart
1105,father
1105,fool
1105,football
1105,fan
1105,family
1105,font
1105,fright
1105,fry
1105,finish
1105,form
1105,fail
1105,fat
1105,fast
1105,finish
1105,fight
1105,fill
1105,faint
1105,fantastic
1106,Figured
1106,friend
1106,francophone
1106,French
1106,find
1106,fine
1106,frown
1106,found
1106,frank
1107,Fresh
1107,Frost
1107,frolic
1107,fool
1107,friend
1107,foe
1107,fight
1107,forget
1107,foil
1107,foliage
1107,flora
1107,fona
1107,frosh
1107,finger
1107,frosting
1107,frozen
1108,Fuck
1108,fat
1108,fan
1108,fall
1108,follow
1108,felt
1108,frown
1108,Friday
1108,foal
1108,fake
1109,frivolous
1109,fantastic
1109,fabulous
1109,frumpy
1109,fly
1109,frog
1109,fry
1109,fold
1109,fib
1110,Fish
1110,find
1110,file
1110,fast
1110,Philippino
1110,fissure
1111,Fox
1111,feather
1111,fire
1111,flipper
1111,frittata
1111,Fahrenheit
1111,Frank
1111,finger
1111,fist
1111,fix
1111,flip
1111,fairy
1111,France
1111,French
1112,Fun
1112,fall
1112,freedom
1112,fight
1112,fruit
1112,fat
1112,foreshadow
1113,Fold
1113,finger
1113,fork
1113,frown
1113,flat
1113,furrow
1113,fiber
1113,focus
1113,fondle
1113,fart
1113,frat
1113,Friday
1113,frigid
1113,feline
1114,Farmhouse
1114,farm
1114,Ferris wheel
1114,forest
1114,Fanshaw College
1114,forgotten
1114,fail
1114,failing
1114,fell
1114,fall
1114,fixture
1123,Fuck
1123,ferry
1123,free
1123,farm
1123,ferret
1123,foible
1123,fair
1123,far
1126,Fire
1126,free
1126,favourite
1126,frightening
1126,feel
1126,forever
1126,fight
1126,forgive
1126,fragrance
1126,flower
1135,Fantastic
1135,fruit
1135,funny
1135,Farrell
1135,fire
1135,fur
1135,fur-tree
1135,fine
1135,fin
1135,faint
1135,fain
1135,frugal
1135,fit
1135,fitness
1135,fun
1135,face
1135,few
1135,far
1135,fast
1135,fasting
1135,fabulous
1135,Fuse
1161,Face
1161,faucet
1161,food
1161,fangs
1161,felt
1161,finger
1161,fight
1161,fist
1161,flower
1161,family
1161,far
1161,fake
1161,fan
1161,fantastic
1161,fruit
1161,free
1161,fries
1161,flavour
1161,front
1161,fan
1162,Fox
1162,foundry
1162,find
1162,feeling
1162,flexible
1162,fidget
1162,film
1162,free
1162,fix
1162,find
1162,foal
1162,flower
1162,fly
1162,flute
1162,fond
1162,fill
1162,file
1184,Fact
1184,fake
1184,feeling
1184,football
1184,foot
1184,fridge
1184,friend
1184,fecal
1184,finding
1184,feed
1184,fend
1184,find
1184,fond
1184,fondu
1184,fun
1184,finger
1184,finish
1184,finale
1185,Face
1185,farmer
1185,fart
1185,flick
1185,flip
1185,fan
1185,focus
1185,fantastic
1185,flaccid
1185,flipper
1185,flank
1185,fawn
1185,flap
1185,flat
1185,feet
1185,finger
1185,foetus
1185,femur
1185,femoral
1185,flap
1185,farm
1185,fence
1185,front
1185,franc
1185,finish
1185,fist
1185,fit
1195,Fun
1195,famous
1195,fantastic
1195,favourite
1195,funny
1195,family
1195,father
1195,fast
1195,future
1195,food
1195,fast-food
1195,full
1199,Fun
1199,fight
1199,fright
1199,flight
1199,frame
1199,floor
1199,face
1199,fry
1199,fling
1199,fancy
1199,fortitude
1199,fantastic
1199,from
1199,flow
11116,Fear
11116,friend
11116,for
11116,forty
11116,far
11116,find
11116,found
11116,fruit
11116,fabulous
11116,fan
11117,Friends
11117,food
11117,fudge
11117,ferret
11117,frankly
11117,foe
11117,fowl
11117,fuel
11117,fan
11117,favourite
11117,fanny
11117,pack
11117,foot
11117,footwear
11117,feet
11117,furniture
11118,Finger
11118,flower
11118,follower
11118,fire
11118,friend
11118,face
11118,family
11118,frog
11118,fight
11118,force
11118,felt
11118,flow
11118,flame
11118,forget
11118,fuck
11118,fart
11118,fake
11119,Finger
11119,fruit
11119,follow
11119,fall
11119,freak
11119,flirt
11119,fever
11119,famous
11119,fax
11119,frown
11119,flag
11119,fever
11119,fancy
11119,Friday
11119,fence
11119,frog
11119,French
11119,fries
11119,flu
11119,flies
11119,freckle
11119,fog
11120,Fish
11120,frog
11120,farm
11120,furniture
11120,forget
11120,future
11120,fail
11121,Frog
11121,flip
11121,face
11121,front
11121,fraction
11121,fiction
11121,forward
11121,fly
11121,flip
11121,flop
11121,freckle
11121,frontier
11121,factory
11121,fix
11122,Flag
11122,fox
11122,fridge
11122,faith
11122,forget
11122,French
11122,fake
11143,Fish
11143,fridge
11143,Friday
11143,friend
11143,fight
11143,frost
11143,freeze
11143,fake
11143,finish
11143,festive
11143,fish
11143,five
11143,fat
11143,fog
11143,face
11143,fate
11145,Frog
11145,French
11145,fat
11145,fly
11145,fruit
11145,finger
11145,forge
11145,fuck
11145,fabulous
11145,fad
11145,flame
11145,fart
11145,flick
11145,funk
11145,flip
11145,fish
11145,fill
11147,Fish
11147,foot
11147,finger
11147,fat
11147,fantasy
11147,friend
11147,fundraiser
11147,fact
11147,femur
11147,funny
11147,fantastic
11147,fish
11147,ferret
11147,funky
11147,fan
11147,fossil
11147,fun
11147,fungus
11151,Fruit
11151,fast
11151,frugal
11151,flower
11151,friend
11151,foe
11151,follow
11151,folly
11151,French
11151,fair
11151,fame
11151,famous
11151,furrow
11151,frown
11151,faint
11151,fear
11151,fence
11151,file
11175,Fish
11175,fun
11175,fan
11175,fiction
11175,fog
11175,frog
11175,flamingo
11175,fright
11175,fin
11175,fly
11175,fry
11176,Frog
11176,Frankfort
11176,forget
11176,falling
11176,forget-me-not
11176,flower
11176,floor
11176,finger
11176,fingernail
11176,frown
11176,funny
11183,Food
11183,French
11183,friends
11183,feelings
11183,football
11183,freedom
11183,fence
11183,finger
11183,fox
11183,ferret
11183,force
11189,Fox
11189,flower
11189,fig
11189,fire
11189,figure
11189,flyer
11189,finger
11189,follicle
11211,frock
11211,flip
11211,fool
11211,FALSE
11211,femur
11211,fake
11211,flap
11211,fly
11211,frozen
11211,fold
11211,fear
11211,fumble
11211,frost
11211,fiscal
11211,force
11211,frat
11211,from
11211,follow
11211,flippant
11211,foster
11211,freedom
11211,freezing
11211,fumble
11211,force
11211,foreign
11216,firm
11216,funny
11216,fig
11216,finally
11216,forensic
11216,fins
11216,find
11216,full
11216,fall
11217,fragile
11217,freak
11217,faggot
11217,fuck
11217,forgotten
11217,fragrance
11217,futile
11217,fugitive
11217,functional
11217,funk
11221,Fly
11221,fright
11221,freedom
11221,forward
11221,flip
11221,fail
11221,flick
11221,flume
11221,frog
11221,fence
11221,from
11221,flute
11221,Fahrenheit
11221,forgo
11221,fan
11221,family
11221,friends
11221,forgiver
11221,faint
11221,full
11226,fool
11226,face
11226,fake
11226,fate
11226,frown
11226,fray
11226,foal
11226,freak
11226,fret
11226,feet
11249,fairy
11249,fickle
11249,friend
11249,family
11249,faint
11249,felony
11249,fame
11249,fortune
11249,filth
11249,fish
11249,flu
11249,farm
11259,Fly
11259,finger
11259,from
11259,fog
11259,fight
11259,fuzzy
11259,forlorn
11259,frog
11259,fox
11259,file
11259,float
11259,forget
11259,fornicate
11278,Friend
11278,foe
11278,fair
11278,festival
11278,farm
11278,forget
11278,fatch
11278,fat
11278,follow
11278,fair
11278,amount
11278,facilitate
11278,forego
11278,fabulous
11278,fantastic
11278,fantasy
11278,fanatic
11278,fellow
11278,frantic
11278,female
11302,Funny
11302,feet
11302,forest
11302,fudge
11302,fast
11302,furry
11302,fury
11302,fail
11302,fox
11302,found
11302,follow
11302,feed
11304,fire
11304,free
11304,fort
11304,fork
11304,feather
11304,forecast
11304,flow
11304,flower
11304,flank
11304,fuzzy
11304,frost
11304,frozen
11304,fill
11304,flip
11304,failing
11304,fang
11304,fan
11306,fire
11306,frog
11306,finger
11306,foot
11306,free
11306,file
11306,fling
11306,flower
11306,fuck
11306,fail
11309,food
11309,flower
11309,fun
11309,fairy
11309,farm
11309,foot
11309,face
11309,from
11309,fang
11309,faint
11309,fig
11309,floor
11309,fair
11309,frame
11365,friendly
11365,fruit
11365,fake
11365,fanatic
11365,find
11365,fickle
11365,freckle
11365,fantasy
11365,fire-truck
11365,fail
11365,fang
11365,follow
11365,fend
11365,forge
11365,felt
11365,flack
11365,found
11390,face
11390,furniture
11390,floor
11390,fixture
11390,flower
11390,freak
11390,frame
11390,fuck
11390,flex
11390,force
11390,from
11390,for
11390,forecast
11390,foreman
11400,fun
11400,fridge
11400,finite
11400,finish
11400,flame
11400,fuck
11400,flavor
11400,flip
11404,family
11404,friend
11404,fashion
11404,forget
11404,fair
11404,FALSE
11404,frustrated
11404,force
11404,fling
11404,fight
11404,finger
11404,fun
11404,future
11404,feature
11404,fuck
11404,firetruck
11404,fear
11404,for
11411,freezer
11411,frigid
11411,fluid
11411,fuck
11411,freeway
11411,fire
11411,festive
11411,feast
11411,fibrosis
11411,fruit
11414,fried
11414,fillet
11414,fly
11414,flyer
11414,frequency
11414,foe
11417,friends
11417,family
11417,focus
11417,feline
11417,fast
11417,furious
11417,flight
11417,fight
11417,fiction
11417,fraction
11417,floor
11417,fever
11417,favour
11417,faction
11417,flask
11417,fat
11423,friends
11423,fun
11423,flight
11423,fracking
11423,function
11423,fail
11423,final
11423,fin
11423,flash
11423,fire
11423,fox
11424,friendship
11424,fireplace
11424,fire
11424,fold
11424,fruit
11424,fun
11424,front
11424,form
11424,fish
11424,free
11424,face
11424,furniture
11424,furnace
11424,fumes
11424,freelance
11490,Face
11490,focus
11490,force
11490,free
11490,fortitude
11490,frozen
11490,fast
11490,friend
11490,frenzy
11491,fuck
11491,fire truck
11491,flames
11491,forward
11491,front
11491,finger
11491,fist
11491,fierce
11493,fridge
11493,freezer
11493,flower
11493,favorite
11493,fall
11493,female
11493,fern
11493,family
11493,facts
11493,fiction
11493,floss
11493,face
11493,film
11497,face
11497,friendly
11497,fruit
11497,feline
11497,flamingo
11497,fox
11497,finish
11497,fragrant
11497,fish
11497,find
11497,frog
11497,flower
11497,forest
