Participant,Response
8,Snake
8,slither
8,sun
8,sunflower
8,seeds
8,sand
8,sea
8,seashells
8,shell
8,silly
8,sun
8,sew
8,silver
9,Snake
9,surreptitious
9,sneaky
9,stab
9,save
9,swim
9,secret
9,stealthy
9,sexy
9,slippery
9,silver
9,slime
9,slit
9,sand
9,super
9,state
9,stand
9,sock
9,sodding
9,soak
10,Snake
10,school
10,secret
10,snow
10,sad
10,sleep
10,sick
10,shovel
10,slip
10,slide
10,sand
10,sever
10,stove
1101,Safire
1101,steak
1101,salamander
1101,stars
1101,sky scraper
1101,snail
1101,sunflower
1101,Safire
1102,Stark
1102,super
1102,star
1102,smear
1102,stuck
1102,smile
1102,super
1102,sling
1102,swing
1102,scar
1102,slave
1102,stop
1102,sorry
1103,Sex
1103,single
1103,separated
1103,simple
1103,segregate
1103,sample
1103,singular
1103,sextuplet
1103,seahorse
1103,salamander
1103,sensual
1103,sensation
1103,some
1104,Steer
1104,same
1104,sorry
1104,single
1104,step
1104,stood
1104,stair
1104,sting
1104,spring
1104,sling
1104,strong
1104,seemingly
1104,simple
1104,story
1104,sky
1104,sarcoma
1104,singular
1104,sample
1104,syringe
1104,sure
1104,shark
1104,shamble
1104,shore
1104,slut
1105,sorry
1105,some
1105,something
1105,sip
1105,sir
1105,sat
1105,Sunday
1105,see
1105,send
1105,sense
1105,sleigh
1105,sure
1105,slow
1105,sleep
1105,slap
1105,smoke
1105,smother
1105,smell
1105,song
1106,Suck
1106,soggy
1106,saw
1106,soccer
1106,saw
1106,set
1106,sit
1106,side
1106,slide
1106,slab
1106,saddle
1107,Sugar
1107,spice
1107,salmon
1107,sarcastic
1107,salmonella
1107,sideways
1107,sarcastic
1107,sauce
1107,sassy
1107,sopanotic
1107,shore
1107,seashell
1107,sink
1107,sail
1107,straw
1107,sand
1107,slip
1107,stink
1107,shout
1107,shark
1108,So
1108,some
1108,sought
1108,sod
1108,saw
1108,see
1108,saw
1108,sock
1108,sludge
1108,snow
1108,sleet
1109,Sky scraper
1109,scrape
1109,sweet
1109,sugar
1109,slander
1109,sick
1109,sad
1109,solemn
1109,sold
1109,sack
1109,suck
1109,scrupulous
1109,sent
1110,Start
1110,stop
1110,sex
1110,stand
1110,satisfactory
1110,sea
1110,send
1110,sad
1110,sound
1110,sensual
1110,scratch
1110,scar
1110,send
1111,Science
1111,similarity
1111,silver
1111,silence
1111,shingle
1111,shiver
1111,sieve
1111,slight
1111,sled
1111,sloth
1111,serious
