Response,Action Performed
apple,Found
aparagus,Added
ant,Found
aardvark,Added
amazing,Found
avast,Added
art,Found
army,Found
ask,Found
ass,Found
athol,Added
atomic,Found
aunt,Found
all,Found
and,Found
a,Added
atom,Found
adorable,Found
autumn,Found
adamant,Found
astonish,Found
april,Found
august,Found
alligator,Found
abacus,Added
artichoke,Added
asparagus,Found
arthropod,Added
anteater,Added
ants,Found
architecture,Found
article,Found
africa,Found
antartica,Added
alaphabet,Added
acorn,Found
aerial,Found
airplane,Found
alveoli,Found
ambiguous,Found
attentive,Found
attention,Found
angular,Found
amphibious,Found
antonym,Added
angelic,Found
angstrom,Added
animal,Found
apricot,Found
abstract,Found
at,Added
alibi,Found
angle,Found
apoptosis,Added
allergenic,Added
air,Found
adipose,Found
ailment,Found
assuage,Found
anomaly,Found
autonomy,Found
anatomy,Found
amber,Found
adding,Found
answer,Found
after,Found
assemble,Found
antonyms,Added
ample,Found
about,Found
apologize,Found
apollo,Added
abide,Found
according,Found
antagonize,Added
assistance,Found
assistant,Found
astronaut,Found
artisan,Found
apparent,Found
asymmetrical,Found
apartment,Found
allocate,Found
atypical,Found
articulate,Found
assimilate,Found
ascribe,Found
act,Found
actor,Found
acting,Found
acted,Found
ate,Found
allow,Found
alone,Found
any,Found
alphabet,Found
axe,Found
accent,Found
acrobat,Found
ability,Found
android,Added
antidote,Found
antelope,Found
an,Added
allegory,Found
aerodynamic,Found
allopathic,Added
algorithm,Found
algebra,Found
aubergine,Added
random,Added
aviation,Found
anonymous,Found
association,Found
antisocial,Found
alternative,Found
another,Found
ark,Found
arrow,Found
armadillo,Added
armoire,Added
ancient,Found
amplifier,Found
ace,Found
arithmetic,Found
ankastor,Added
ares,Added
antarctica,Found
america,Found
arctic ocean,Added
atlantic ocean,Added
australia,Added
appleby’s,Added
ankle,Found
advantageous,Found
adventure,Found
aspiration,Found
aquatic,Found
always,Found
action,Found
average,Found
actually,Found
as,Added
audacity,Found
age,Found
antagonist,Found
atrophy,Found
aim,Found
appreciate,Found
aptitude,Found
ancillary,Found
animate,Found
anybody,Found
appropriate,Found
analogy,Found
angel,Found
astounding,Found
amend,Found
amiable,Found
able,Found
abort,Found
adolescent,Found
account,Found
against,Found
aggressive,Found
adjust,Found
adjacent,Found
almost,Found
add,Found
around,Found
at most,Added
attempt,Found
attempting,Found
actress,Found
attic,Found
appetite,Found
anger,Found
alliteration,Added
assert,Found
affection,Found
apparel,Found
accelerate,Found
attend,Found
adote,Added
accredited,Found
affectionate,Found
affiliation,Found
affect,Found
attrition,Found
amends,Found
antimony,Found
alzheimer’s,Added
aw,Added
alimony,Found
eater,Added
antecedent,Found
anecdote,Found
amplify,Found
angry,Found
aggravated,Found
assault,Found
anus,Found
analytical,Found
admission,Found
appreciation,Found
appraise,Found
am,Added
awesome,Found
alter,Found
affair,Found
afar,Found
also,Found
ago,Found
away,Found
artificial,Found
attribute,Found
aggravate,Found
antsy,Added
advertise,Found
anticipate,Found
aging,Found
application,Found
anterior,Found
axel,Added
arrogant,Found
alien,Found
ache,Found
accordion,Found
arthritis,Found
arrive,Found
arbitrary,Found
above,Found
