Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
8,forage_dynamic_delta_rise=0.0_fall=0.0,-0.3884398513649429,0.001324988805399291,,12.534191614066874
8,forage_dynamic_delta_rise=0.0_fall=0.25,-0.3884399139881063,0.001310895662845635,,12.534191614079035
8,forage_dynamic_delta_rise=0.0_fall=0.5,-0.38843972825289524,0.0013431448508977257,,12.534191614098646
8,forage_dynamic_delta_rise=0.0_fall=0.75,-0.3884396304966149,0.0013511252753512846,,12.534191614129313
8,forage_dynamic_delta_rise=0.0_fall=1.0,-0.38843980459655575,0.0013248701062615713,,12.534191614066811
8,forage_dynamic_delta_rise=0.25_fall=0.0,-0.3884397488799909,0.0013231658476093133,,12.534191614066817
8,forage_dynamic_delta_rise=0.25_fall=0.25,-0.38843975734965586,0.0013280084808853705,,12.534191614068437
8,forage_dynamic_delta_rise=0.25_fall=0.5,-0.38843982135447297,0.0013223207159674525,,12.534191614066687
8,forage_dynamic_delta_rise=0.25_fall=0.75,-0.3884398496165408,0.0013235216125174097,,12.534191614066618
8,forage_dynamic_delta_rise=0.25_fall=1.0,-0.3884398357450653,0.001324239220266429,,12.53419161406668
8,forage_dynamic_delta_rise=0.5_fall=0.0,-0.3884398637421135,0.0013217175612677625,,12.53419161406681
8,forage_dynamic_delta_rise=0.5_fall=0.25,-0.3884398620190348,0.0013211457743456296,,12.534191614066975
8,forage_dynamic_delta_rise=0.5_fall=0.5,-0.3884398445210099,0.0013190608299146207,,12.534191614068066
8,forage_dynamic_delta_rise=0.5_fall=0.75,-0.38843991885801293,0.001323186667520599,,12.53419161406683
8,forage_dynamic_delta_rise=0.5_fall=1.0,-0.3884398020634999,0.001323251922891302,,12.534191614066629
8,forage_dynamic_delta_rise=0.75_fall=0.0,-0.38843988370156407,0.0013210659283488112,,12.534191614067034
8,forage_dynamic_delta_rise=0.75_fall=0.25,-0.3884398510351873,0.0013225181060693115,,12.534191614066653
8,forage_dynamic_delta_rise=0.75_fall=0.5,-0.388439859431815,0.0013206093326153284,,12.534191614067183
8,forage_dynamic_delta_rise=0.75_fall=0.75,-0.3884400396693763,0.0013078636450534818,,12.534191614085977
8,forage_dynamic_delta_rise=0.75_fall=1.0,-0.38843991704140585,0.0013155435721825992,,12.534191614071457
8,forage_dynamic_delta_rise=1.0_fall=0.0,-0.38843987127575347,0.0013178546196909867,,12.534191614068988
8,forage_dynamic_delta_rise=1.0_fall=0.25,-0.3884398652752245,0.0013241405990367288,,12.534191614066714
8,forage_dynamic_delta_rise=1.0_fall=0.5,-0.38843985818796956,0.001322312954591271,,12.534191614066687
8,forage_dynamic_delta_rise=1.0_fall=0.75,-0.3884398631774426,0.0013229057813662572,,12.534191614066637
8,forage_dynamic_delta_rise=1.0_fall=1.0,-0.3884398520013298,0.0013243991512301735,,12.534191614066726
