Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
8.0,0.20709484581357995,,6.7978445542823325,,0.25,,2.0,delta_rise=0.0_fall=0.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.0_fall=0.25,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.0_fall=0.5,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.0_fall=0.75,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.0_fall=1.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.25_fall=0.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.25_fall=0.25,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.25_fall=0.5,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.25_fall=0.75,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.25_fall=1.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.5_fall=0.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.5_fall=0.25,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.5_fall=0.5,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.5_fall=0.75,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.5_fall=1.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.75_fall=0.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.75_fall=0.25,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.75_fall=0.5,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.75_fall=0.75,0,2.0,0.0
8.0,,,,,,,,delta_rise=0.75_fall=1.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=1.0_fall=0.0,0,2.0,0.0
8.0,,,,,,,,delta_rise=1.0_fall=0.25,0,2.0,0.0
8.0,,,,,,,,delta_rise=1.0_fall=0.5,0,2.0,0.0
8.0,,,,,,,,delta_rise=1.0_fall=0.75,0,2.0,0.0
8.0,,,,,,,,delta_rise=1.0_fall=1.0,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.0,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.1,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.2,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.30000000000000004,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.4,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.5,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.6000000000000001,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.7000000000000001,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.8,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=0.9,0,2.0,0.0
8.0,,,,,,,,multimodal_alpha=1.0,0,2.0,0.0
8.0,,,,,,,,simdrop,0,2.0,0.0
9.0,0.26242166642011816,0.14232112500504512,7.04751218499911,1.6623334534433987,0.3073,0.1875839773846065,15.0,delta_rise=0.0_fall=0.0,5,2.5,1.6072751268321592
9.0,,,,,,,,delta_rise=0.0_fall=0.25,4,3.0,1.7888543819998317
9.0,,,,,,,,delta_rise=0.0_fall=0.5,4,3.0,1.7888543819998317
9.0,,,,,,,,delta_rise=0.0_fall=0.75,3,3.75,3.6314597615834874
9.0,,,,,,,,delta_rise=0.0_fall=1.0,3,3.75,3.6314597615834874
9.0,,,,,,,,delta_rise=0.25_fall=0.0,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.25_fall=0.25,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.25_fall=0.5,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.25_fall=0.75,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=0.25_fall=1.0,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=0.5_fall=0.0,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.5_fall=0.25,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.5_fall=0.5,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.5_fall=0.75,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=0.5_fall=1.0,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=0.75_fall=0.0,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.75_fall=0.25,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.75_fall=0.5,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=0.75_fall=0.75,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=0.75_fall=1.0,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=1.0_fall=0.0,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=1.0_fall=0.25,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=1.0_fall=0.5,7,1.875,1.2686114456365274
9.0,,,,,,,,delta_rise=1.0_fall=0.75,4,3.0,3.03315017762062
9.0,,,,,,,,delta_rise=1.0_fall=1.0,4,3.0,3.03315017762062
9.0,,,,,,,,multimodal_alpha=0.0,1,7.5,0.5
9.0,,,,,,,,multimodal_alpha=0.1,3,3.75,1.0897247358851685
9.0,,,,,,,,multimodal_alpha=0.2,3,3.75,1.0897247358851685
9.0,,,,,,,,multimodal_alpha=0.30000000000000004,3,3.75,1.0897247358851685
9.0,,,,,,,,multimodal_alpha=0.4,3,3.75,1.0897247358851685
9.0,,,,,,,,multimodal_alpha=0.5,3,3.75,1.0897247358851685
9.0,,,,,,,,multimodal_alpha=0.6000000000000001,3,3.75,1.299038105676658
9.0,,,,,,,,multimodal_alpha=0.7000000000000001,3,3.75,1.299038105676658
9.0,,,,,,,,multimodal_alpha=0.8,3,3.75,1.299038105676658
9.0,,,,,,,,multimodal_alpha=0.9,3,3.75,1.299038105676658
9.0,,,,,,,,multimodal_alpha=1.0,3,3.75,1.7853571071357126
9.0,,,,,,,,simdrop,3,3.75,1.7853571071357126
10.0,0.17934453884983342,0.1809689766447098,6.877738942462303,1.3795937657444548,0.22023333333333336,0.0843840229743364,9.0,delta_rise=0.0_fall=0.0,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.0_fall=0.25,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.0_fall=0.5,3,2.25,0.82915619758885
10.0,,,,,,,,delta_rise=0.0_fall=0.75,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.0_fall=1.0,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.25_fall=0.0,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.25_fall=0.25,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.25_fall=0.5,3,2.25,0.82915619758885
10.0,,,,,,,,delta_rise=0.25_fall=0.75,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.25_fall=1.0,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.5_fall=0.0,5,1.5,0.5
10.0,,,,,,,,delta_rise=0.5_fall=0.25,5,1.5,0.5
10.0,,,,,,,,delta_rise=0.5_fall=0.5,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.5_fall=0.75,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.5_fall=1.0,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.75_fall=0.0,5,1.5,0.5
10.0,,,,,,,,delta_rise=0.75_fall=0.25,5,1.5,0.5
10.0,,,,,,,,delta_rise=0.75_fall=0.5,4,1.8,0.7483314773547883
10.0,,,,,,,,delta_rise=0.75_fall=0.75,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=0.75_fall=1.0,2,3.0,2.160246899469287
10.0,,,,,,,,delta_rise=1.0_fall=0.0,6,1.2857142857142858,0.45175395145262565
10.0,,,,,,,,delta_rise=1.0_fall=0.25,6,1.2857142857142858,0.45175395145262565
10.0,,,,,,,,delta_rise=1.0_fall=0.5,6,1.2857142857142858,0.45175395145262565
10.0,,,,,,,,delta_rise=1.0_fall=0.75,6,1.2857142857142858,0.45175395145262565
10.0,,,,,,,,delta_rise=1.0_fall=1.0,6,1.2857142857142858,0.45175395145262565
10.0,,,,,,,,multimodal_alpha=0.0,0,9.0,0.0
10.0,,,,,,,,multimodal_alpha=0.1,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.2,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.30000000000000004,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.4,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.5,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.6000000000000001,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.7000000000000001,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.8,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=0.9,2,3.0,1.632993161855452
10.0,,,,,,,,multimodal_alpha=1.0,2,3.0,1.632993161855452
10.0,,,,,,,,simdrop,2,3.0,1.632993161855452
1101.0,0.3172898114990171,0.1424242253775899,5.859752242681862,1.1253888143538333,0.2621,0.14849406273203877,12.0,delta_rise=0.0_fall=0.0,6,1.7142857142857142,0.6998542122237652
1101.0,,,,,,,,delta_rise=0.0_fall=0.25,6,1.7142857142857142,0.6998542122237652
1101.0,,,,,,,,delta_rise=0.0_fall=0.5,6,1.7142857142857142,0.6998542122237652
1101.0,,,,,,,,delta_rise=0.0_fall=0.75,6,1.7142857142857142,0.6998542122237652
1101.0,,,,,,,,delta_rise=0.0_fall=1.0,6,1.7142857142857142,0.6998542122237652
1101.0,,,,,,,,delta_rise=0.25_fall=0.0,7,1.5,0.7071067811865476
