Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
8,0.20709484581357995,,6.7978445542823325,,2,delta_rise=0.0_fall=0.0,0,2,0
8,,,,,,delta_rise=0.0_fall=0.25,0,2,0
8,,,,,,delta_rise=0.0_fall=0.5,0,2,0
8,,,,,,delta_rise=0.0_fall=0.75,0,2,0
8,,,,,,delta_rise=0.0_fall=1.0,0,2,0
8,,,,,,delta_rise=0.25_fall=0.0,0,2,0
8,,,,,,delta_rise=0.25_fall=0.25,0,2,0
8,,,,,,delta_rise=0.25_fall=0.5,0,2,0
8,,,,,,delta_rise=0.25_fall=0.75,0,2,0
8,,,,,,delta_rise=0.25_fall=1.0,0,2,0
8,,,,,,delta_rise=0.5_fall=0.0,0,2,0
8,,,,,,delta_rise=0.5_fall=0.25,0,2,0
8,,,,,,delta_rise=0.5_fall=0.5,0,2,0
8,,,,,,delta_rise=0.5_fall=0.75,0,2,0
8,,,,,,delta_rise=0.5_fall=1.0,0,2,0
8,,,,,,delta_rise=0.75_fall=0.0,0,2,0
8,,,,,,delta_rise=0.75_fall=0.25,0,2,0
8,,,,,,delta_rise=0.75_fall=0.5,0,2,0
8,,,,,,delta_rise=0.75_fall=0.75,0,2,0
8,,,,,,delta_rise=0.75_fall=1.0,0,2,0
8,,,,,,delta_rise=1.0_fall=0.0,0,2,0
8,,,,,,delta_rise=1.0_fall=0.25,0,2,0
8,,,,,,delta_rise=1.0_fall=0.5,0,2,0
8,,,,,,delta_rise=1.0_fall=0.75,0,2,0
8,,,,,,delta_rise=1.0_fall=1.0,0,2,0
8,,,,,,simdrop,0,2,0
9,0.26242166642011816,0.1423211250050451,7.047512185,1.6623334534433987,15,delta_rise=0.0_fall=0.0,5,2.5,1.6072751268321592
9,,,,,,delta_rise=0.0_fall=0.25,4,3,1.7888543819998317
9,,,,,,delta_rise=0.0_fall=0.5,4,3,1.7888543819998317
9,,,,,,delta_rise=0.0_fall=0.75,3,3.75,3.6314597615834874
9,,,,,,delta_rise=0.0_fall=1.0,3,3.75,3.6314597615834874
9,,,,,,delta_rise=0.25_fall=0.0,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.25_fall=0.25,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.25_fall=0.5,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.25_fall=0.75,4,3,3.033150178
9,,,,,,delta_rise=0.25_fall=1.0,4,3,3.033150178
9,,,,,,delta_rise=0.5_fall=0.0,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.5_fall=0.25,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.5_fall=0.5,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.5_fall=0.75,4,3,3.033150178
9,,,,,,delta_rise=0.5_fall=1.0,4,3,3.033150178
9,,,,,,delta_rise=0.75_fall=0.0,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.75_fall=0.25,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.75_fall=0.5,7,1.875,1.2686114456365274
9,,,,,,delta_rise=0.75_fall=0.75,4,3,3.033150178
9,,,,,,delta_rise=0.75_fall=1.0,4,3,3.033150178
9,,,,,,delta_rise=1.0_fall=0.0,7,1.875,1.2686114456365274
9,,,,,,delta_rise=1.0_fall=0.25,7,1.875,1.2686114456365274
9,,,,,,delta_rise=1.0_fall=0.5,7,1.875,1.2686114456365274
9,,,,,,delta_rise=1.0_fall=0.75,4,3,3.033150178
9,,,,,,delta_rise=1.0_fall=1.0,4,3,3.033150178
9,,,,,,simdrop,3,3.75,1.7853571071357126
10,0.17934453884983342,0.1809689766447098,6.877738942462303,1.3795937657444548,9,delta_rise=0.0_fall=0.0,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.0_fall=0.25,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.0_fall=0.5,3,2.25,0.829156198
10,,,,,,delta_rise=0.0_fall=0.75,2,3,2.160246899469287
10,,,,,,delta_rise=0.0_fall=1.0,2,3,2.160246899469287
10,,,,,,delta_rise=0.25_fall=0.0,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.25_fall=0.25,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.25_fall=0.5,3,2.25,0.829156198
10,,,,,,delta_rise=0.25_fall=0.75,2,3,2.160246899469287
10,,,,,,delta_rise=0.25_fall=1.0,2,3,2.160246899469287
10,,,,,,delta_rise=0.5_fall=0.0,5,1.5,0.5
10,,,,,,delta_rise=0.5_fall=0.25,5,1.5,0.5
10,,,,,,delta_rise=0.5_fall=0.5,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.5_fall=0.75,2,3,2.160246899469287
10,,,,,,delta_rise=0.5_fall=1.0,2,3,2.160246899469287
10,,,,,,delta_rise=0.75_fall=0.0,5,1.5,0.5
10,,,,,,delta_rise=0.75_fall=0.25,5,1.5,0.5
10,,,,,,delta_rise=0.75_fall=0.5,4,1.8,0.7483314773547883
10,,,,,,delta_rise=0.75_fall=0.75,2,3,2.160246899469287
10,,,,,,delta_rise=0.75_fall=1.0,2,3,2.160246899469287
10,,,,,,delta_rise=1.0_fall=0.0,6,1.2857142857142858,0.45175395145262565
10,,,,,,delta_rise=1.0_fall=0.25,6,1.2857142857142858,0.45175395145262565
10,,,,,,delta_rise=1.0_fall=0.5,6,1.2857142857142858,0.45175395145262565
10,,,,,,delta_rise=1.0_fall=0.75,6,1.2857142857142858,0.45175395145262565
10,,,,,,delta_rise=1.0_fall=1.0,6,1.2857142857142858,0.45175395145262565
10,,,,,,simdrop,2,3,1.632993161855452
1101,0.3172898114990171,0.14242422537758986,5.859752242681862,1.1253888143538333,12,delta_rise=0.0_fall=0.0,6,1.7142857142857142,0.6998542122237652
1101,,,,,,delta_rise=0.0_fall=0.25,6,1.7142857142857142,0.6998542122237652
1101,,,,,,delta_rise=0.0_fall=0.5,6,1.7142857142857142,0.6998542122237652
1101,,,,,,delta_rise=0.0_fall=0.75,6,1.7142857142857142,0.6998542122237652
1101,,,,,,delta_rise=0.0_fall=1.0,6,1.7142857142857142,0.6998542122237652
1101,,,,,,delta_rise=0.25_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,simdrop,3,3,0.7071067811865476
1102,0.2530823198585591,0.11364784643394302,6.094528702,0.478169042,7,delta_rise=0.0_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.0_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.25_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.5_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.75_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.75_fall=0.25,3,2.3333333333333335,1.247219128924647
