Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
8,apple,0.0001,6.7978445542823325
8,aparagus,0.20709484581357995,0.0001
9,apple,0.0001,6.7978445542823325
9,ant,0.1944426305477499,6.426146105342156
9,aardvark,0.579469286949563,4.484100445293939
9,amazing,0.21074806040932903,6.56398687435062
9,avast,0.09218017343121265,4.496071276220637
9,art,0.10093185539857363,7.792679041322848
9,army,0.24672021739209626,7.650996445631452
9,ask,0.2609939420916847,7.599529916947582
9,ass,0.2662792478119729,6.575836145939483
9,athol,0.2929345785463161,4.978203349906158
9,atomic,0.19818033867120688,6.79898379894304
9,aunt,0.20051313187252784,6.951723839863105
9,all,0.16819266320932347,8.904983810425902
9,and,0.3183096201562423,9.926774682044018
9,a,0.5440075833938554,9.764822488473373
10,atom,0.0001,6.698721082274905
10,adorable,0.03700937027408491,5.589835709691052
10,apple,0.17702379412977998,6.7978445542823325
10,and,0.12398154387733495,9.926774682044018
10,autumn,0.024991426374333825,6.766860371091164
10,adamant,0.10137285869342483,5.71466080404525
10,astonish,0.3193201867727482,5.424048167501823
10,april,0.08711562648723714,7.531622057349283
10,august,0.5639415041897234,7.449283053880892
1101,alligator,0.0001,5.714162884828213
1101,abacus,0.21374922887785996,5.202169426773096
1101,artichoke,0.17497289018548945,5.4002927121245285
1101,asparagus,0.47549493072056115,5.834790618408565
1101,apple,0.2584829289601651,6.7978445542823325
1101,arthropod,0.14937225733618176,5.145550660811136
1101,anteater,0.4078163494867173,4.6491303221219455
1101,ants,0.5542103423777415,6.186750999487614
1101,architecture,0.2773275607210792,6.983760388099746
1101,article,0.23288569145790672,7.41341310182769
1101,africa,0.23887150027897186,7.277775864319018
1101,antartica,0.5070042460865141,3.711385379098452
1102,alaphabet,0.0001,0.0001
1102,apple,0.300143219926708,6.7978445542823325
1102,acorn,0.289262176089779,5.62229693523877
1102,aerial,0.12661024900948503,6.268791322792028
1102,airplane,0.4312919873901806,6.41993279467672
1102,alveoli,0.2313752713750985,5.623515989387621
1102,asparagus,0.13981101536010354,5.834790618408565
1103,apple,0.0001,6.7978445542823325
1103,ambiguous,0.19705441954491898,6.399550163563768
1103,attentive,0.2958724008682245,6.207410296570351
1103,attention,0.6735453115578498,7.666803164087965
1103,attentive,0.6735453115578498,6.207410296570351
1103,angular,0.18785902949176314,6.556564687221637
1103,amphibious,0.19784564665786641,5.648832110535646
1103,antonym,0.2574137754816942,4.819425475437874
1103,angelic,0.22119458626747135,5.8971100281500775
1103,angstrom,0.19949520683242494,5.011515466132567
1103,animal,0.11588862536341948,7.382158768841074
1103,apricot,0.13194476014738676,5.61394958961628
1103,abstract,0.23966272768739183,6.969614933915044
1103,and,0.01310018827724746,9.926774682044018
1103,at,0.5823988067434149,9.113364625940726
1103,alibi,0.03648735414897242,5.594823315928977
1103,alligator,0.15218948031460777,5.714162884828213
1103,ant,0.25608550994504864,6.426146105342156
1104,apple,0.0001,6.7978445542823325
1104,angle,0.2701083933893884,7.201237143380894
1104,africa,0.17864324571544665,7.277775864319018
1104,apoptosis,0.21011904031499906,5.744364185930269
1104,allergenic,0.3203849627135571,4.8245553581121055
1104,air,0.4161936840579368,7.869303566049177
1104,airplane,0.500084975772729,6.41993279467672
1104,adipose,0.31267463031854814,5.6598515737632455
1104,ailment,0.28385254472201704,5.582291819019135
1104,assuage,0.3668271119714661,5.416868410533749
1104,anomaly,0.30226664691765204,6.04235378060326
1104,autonomy,0.22212381399668013,6.613055788208987
1104,atom,0.185049183065092,6.698721082274905
1104,anatomy,0.1157968687052463,6.591076633476402
1104,amber,0.11180690785259917,6.214245221499748
1104,august,0.2465951756955811,7.449283053880892
1105,amber,0.0001,6.214245221499748
1105,adding,0.11630702285105343,7.023479962110869
1105,anatomy,0.0612987552719797,6.591076633476402
1105,answer,0.15423389188469772,7.645351872565461
1105,after,0.33697756747694163,8.481693549545625
1105,ask,0.31196346494310756,7.599529916947582
1105,assemble,0.24484165075755238,6.273598219200718
1105,antonyms,0.1567479317612882,5.160759563954066
1105,ample,0.203775401606335,6.623032295762338
1106,apple,0.0001,6.7978445542823325
1106,about,0.21346077250191509,8.625410735500303
1106,and,0.43243775985310395,9.926774682044018
1106,apologize,0.029348513665903964,6.055733726297597
1106,apollo,0.26800688952060914,6.3908955597890245
1106,abide,0.13106995574064406,6.2596337709913055
1106,according,0.15928044411960152,7.767244542188786
1106,antagonize,0.21137125145788038,5.321592217338184
1106,assistance,0.21277254133162338,7.210639827021769
1106,assistance,1.0,7.210639827021769
1106,assistant,0.45808185081255415,7.001818919602168
1106,astronaut,0.2299190229675112,5.49687570368872
1107,apple,0.0001,6.7978445542823325
1107,aardvark,0.2600097977703477,4.484100445293939
1107,artisan,0.21210243108168614,5.766528098333496
1107,apparent,0.20389455729022676,7.209097972091114
1107,artichoke,0.19182029485623608,5.4002927121245285
1107,asymmetrical,0.2607637062469179,5.716389026271601
1107,apartment,0.1950680798178296,6.922234484884642
1107,ask,0.17235029200602459,7.599529916947582
1107,answer,0.5995922895897204,7.645351872565461
1107,allocate,0.2375959975655091,5.957827012246992
1107,atypical,0.13563696505570955,5.977844733698254
1107,articulate,0.40839703347138423,6.26611899135353
1107,assimilate,0.33458870737630786,5.836612072683855
1107,ascribe,0.3707608369548958,5.933824772560658
1108,act,0.0001,7.90648525692836
1108,actor,0.4740856115819674,6.760933383592536
1108,acting,0.7331799706013158,7.1386349090026595
1108,acted,0.6303314958558507,6.90015921845718
1108,and,0.2652619675292748,9.926774682044018
1108,ate,0.22727854359804445,6.777488445781681
1108,aunt,0.2850154923114562,6.951723839863105
1108,allow,0.17307668095543605,7.423783721752725
1108,alone,0.19395483385275547,7.693561014977544
1108,about,0.1770324847478182,8.625410735500303
1108,any,0.39640597302092107,8.545988914556043
1109,acorn,0.0001,5.62229693523877
1109,alphabet,0.3382449882649534,6.298631071189924
1109,axe,0.31876429640304216,6.233724910092952
1109,accent,0.3535851671484199,6.463877169036236
1109,acrobat,0.027928422401320985,5.419043267550822
1109,ability,0.18606273369542703,7.47718396231547
1109,apartment,0.25987182029547506,6.922234484884642
1110,apple,0.0001,6.7978445542823325
1110,answer,0.23815072340881316,7.645351872565461
1110,and,0.30320289258374333,9.926774682044018
1110,android,0.1645557442657175,4.9462851965432675
1110,antidote,0.16876248433710184,5.852015562670273
1110,ask,0.1446534987742134,7.599529916947582
1110,antelope,0.048987653357216665,5.8451706231690945
1110,ant,0.42322802714607677,6.426146105342156
1110,an,0.2534784845121355,8.998882327644752
1111,allegory,0.0001,6.061910282671132
1111,alligator,0.17408411161372384,5.714162884828213
1111,aerodynamic,0.325341955933207,5.563571257400441
1111,allopathic,0.3587614170262703,4.878291949249796
1111,algorithm,0.2182947520715236,6.6564977033510635
1111,algebra,0.3592274192863024,6.424042442085776
1111,air,0.2231112077363654,7.869303566049177
1111,apple,0.2515919616470643,6.7978445542823325
1111,animal,0.29552777468045743,7.382158768841074
1111,and,0.1654020773364988,9.926774682044018
1111,apricot,0.023186602911432708,5.61394958961628
1111,aubergine,0.4529421547790786,4.458244918055132
1111,random,0.0007279535074902199,7.0457271149423635
1111,airplane,0.2378682984895477,6.41993279467672
1111,and,0.1402527192881351,9.926774682044018
1111,aviation,0.07061321015803312,6.353282879798734
1112,apple,0.0001,6.7978445542823325
1112,acorn,0.289262176089779,5.62229693523877
1112,anonymous,0.019201582327204036,6.523110553228599
1112,association,0.08794651953478705,7.568956235947932
1112,asparagus,0.11108122151561661,5.834790618408565
1112,artichoke,0.47549493072056115,5.4002927121245285
1112,antisocial,0.1811966031823813,5.883744312205285
1112,association,0.20692622594213617,7.568956235947932
1112,alternative,0.2887811049063451,7.21376978715131
1112,another,0.4101518601504144,8.228087867422131
1113,apple,0.0001,6.7978445542823325
1113,abacus,0.3341900439079021,5.202169426773096
1113,ark,0.2068564250017657,6.23126921823872
1113,arrow,0.15058383176257273,6.698863154750432
1113,armadillo,0.18550362755308714,5.091213084979909
1113,armoire,0.13337952258783314,4.868274042975691
1113,ancient,0.1436407749762003,7.427178813335565
1113,amplifier,0.09850295233877249,6.360367688383779
1113,ace,0.2199134539895029,6.309358222470817
1114,apple,0.0001,6.7978445542823325
1114,arithmetic,0.18085603246807125,6.564642633018539
1114,alphabet,0.2977788426380681,6.298631071189924
1114,ankastor,0.26353612955738437,0.0001
1114,ares,0.2592953340152224,5.363166176303511
1114,antarctica,0.15867820467804217,5.681087397502494
1114,america,0.3418452508695484,7.761143921071086
1114,arctic ocean,0.21855435065142703,5.253224085025361
1114,atlantic ocean,0.6376114234318693,5.820795005612571
1114,australia,0.2595810098922904,6.836831235005203
1114,appleby’s,0.2023641797780975,0.0001
1114,acorn,0.27278685895687116,5.62229693523877
1114,ankle,0.1471072418637256,6.307578824093449
1114,antelope,0.24530175018827782,5.8451706231690945
1123,aardvark,0.0001,4.484100445293939
1123,advantageous,0.12262901308371099,6.310405669563822
1123,adventure,0.24818062678140285,6.695363192499859
1123,aspiration,0.20850845536523677,6.285488671554682
1123,aquatic,0.339700062428289,6.172228307435677
