Subject,Fluency_Item,Switch_Value,Switch_Method
8,apple,2,simdrop
8,aparagus,2,simdrop
8,apple,2,delta_rise=0.0_fall=0.0
8,aparagus,0,delta_rise=0.0_fall=0.0
8,apple,2,delta_rise=0.0_fall=0.25
8,aparagus,0,delta_rise=0.0_fall=0.25
8,apple,2,delta_rise=0.0_fall=0.5
8,aparagus,0,delta_rise=0.0_fall=0.5
8,apple,2,delta_rise=0.0_fall=0.75
8,aparagus,0,delta_rise=0.0_fall=0.75
8,apple,2,delta_rise=0.0_fall=1.0
8,aparagus,0,delta_rise=0.0_fall=1.0
8,apple,2,delta_rise=0.25_fall=0.0
8,aparagus,0,delta_rise=0.25_fall=0.0
8,apple,2,delta_rise=0.25_fall=0.25
8,aparagus,0,delta_rise=0.25_fall=0.25
8,apple,2,delta_rise=0.25_fall=0.5
8,aparagus,0,delta_rise=0.25_fall=0.5
8,apple,2,delta_rise=0.25_fall=0.75
8,aparagus,0,delta_rise=0.25_fall=0.75
8,apple,2,delta_rise=0.25_fall=1.0
8,aparagus,0,delta_rise=0.25_fall=1.0
8,apple,2,delta_rise=0.5_fall=0.0
8,aparagus,0,delta_rise=0.5_fall=0.0
8,apple,2,delta_rise=0.5_fall=0.25
8,aparagus,0,delta_rise=0.5_fall=0.25
8,apple,2,delta_rise=0.5_fall=0.5
8,aparagus,0,delta_rise=0.5_fall=0.5
8,apple,2,delta_rise=0.5_fall=0.75
8,aparagus,0,delta_rise=0.5_fall=0.75
8,apple,2,delta_rise=0.5_fall=1.0
8,aparagus,0,delta_rise=0.5_fall=1.0
8,apple,2,delta_rise=0.75_fall=0.0
8,aparagus,0,delta_rise=0.75_fall=0.0
8,apple,2,delta_rise=0.75_fall=0.25
8,aparagus,0,delta_rise=0.75_fall=0.25
8,apple,2,delta_rise=0.75_fall=0.5
8,aparagus,0,delta_rise=0.75_fall=0.5
8,apple,2,delta_rise=0.75_fall=0.75
8,aparagus,0,delta_rise=0.75_fall=0.75
8,apple,2,delta_rise=0.75_fall=1.0
8,aparagus,0,delta_rise=0.75_fall=1.0
8,apple,2,delta_rise=1.0_fall=0.0
8,aparagus,0,delta_rise=1.0_fall=0.0
8,apple,2,delta_rise=1.0_fall=0.25
8,aparagus,0,delta_rise=1.0_fall=0.25
8,apple,2,delta_rise=1.0_fall=0.5
8,aparagus,0,delta_rise=1.0_fall=0.5
8,apple,2,delta_rise=1.0_fall=0.75
8,aparagus,0,delta_rise=1.0_fall=0.75
8,apple,2,delta_rise=1.0_fall=1.0
8,aparagus,0,delta_rise=1.0_fall=1.0
9,apple,2,simdrop
9,ant,0,simdrop
9,aardvark,0,simdrop
9,amazing,0,simdrop
9,avast,1,simdrop
9,art,0,simdrop
9,army,0,simdrop
9,ask,0,simdrop
9,ass,0,simdrop
9,athol,0,simdrop
9,atomic,1,simdrop
9,aunt,0,simdrop
9,all,1,simdrop
9,and,0,simdrop
9,a,2,simdrop
9,apple,2,delta_rise=0.0_fall=0.0
9,ant,1,delta_rise=0.0_fall=0.0
9,aardvark,0,delta_rise=0.0_fall=0.0
9,amazing,1,delta_rise=0.0_fall=0.0
9,avast,1,delta_rise=0.0_fall=0.0
9,art,0,delta_rise=0.0_fall=0.0
