Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
8,forage_dynamic_delta_rise=0.0_fall=0.0,4.057317823688018,4.152524572165339,,71.34828642620303
8,forage_dynamic_delta_rise=0.0_fall=0.25,4.057301936270725,4.152524215856878,,71.34828642621933
8,forage_dynamic_delta_rise=0.0_fall=0.5,4.057321489655048,4.152523807755557,,71.34828642620546
8,forage_dynamic_delta_rise=0.0_fall=0.75,4.057315842422722,4.15252139517348,,71.34828642620383
8,forage_dynamic_delta_rise=0.0_fall=1.0,4.057322409226514,4.152522106888479,,71.34828642620722
8,forage_dynamic_delta_rise=0.25_fall=0.0,4.24759706387115,4.654976978932847,,70.45494419016832
8,forage_dynamic_delta_rise=0.25_fall=0.25,4.247599973101768,4.654976348898727,,70.45494419016501
8,forage_dynamic_delta_rise=0.25_fall=0.5,4.247607469034548,4.65497337126503,,70.45494419016978
8,forage_dynamic_delta_rise=0.25_fall=0.75,4.247615390276269,4.654977144171832,,70.45494419017636
8,forage_dynamic_delta_rise=0.25_fall=1.0,4.24760847389904,4.654978275458593,,70.45494419016723
8,forage_dynamic_delta_rise=0.5_fall=0.0,4.247593806808597,4.654966983400827,,70.45494419021955
8,forage_dynamic_delta_rise=0.5_fall=0.25,4.247611874451807,4.654977724403774,,70.45494419017037
8,forage_dynamic_delta_rise=0.5_fall=0.5,4.2476419784213855,4.6549722908003615,,70.45494419031573
8,forage_dynamic_delta_rise=0.5_fall=0.75,4.247602165622591,4.654976129927706,,70.4549441901638
8,forage_dynamic_delta_rise=0.5_fall=1.0,4.247638803592166,4.654978534387661,,70.45494419028283
8,forage_dynamic_delta_rise=0.75_fall=0.0,4.247596098388178,4.654976342741192,,70.45494419016944
8,forage_dynamic_delta_rise=0.75_fall=0.25,4.24761575887796,4.654977363191413,,70.45494419017733
8,forage_dynamic_delta_rise=0.75_fall=0.5,4.247617560049728,4.654975891289307,,70.45494419018172
8,forage_dynamic_delta_rise=0.75_fall=0.75,4.247603583931562,4.654967034068385,,70.45494419021057
8,forage_dynamic_delta_rise=0.75_fall=1.0,4.2476014787994965,4.654977503919174,,70.45494419016477
8,forage_dynamic_delta_rise=1.0_fall=0.0,4.247610882586585,4.654976512988719,,70.45494419016812
8,forage_dynamic_delta_rise=1.0_fall=0.25,4.247588460708384,4.654966584435952,,70.45494419023609
8,forage_dynamic_delta_rise=1.0_fall=0.5,4.247640717261004,4.654976971548894,,70.45494419029474
8,forage_dynamic_delta_rise=1.0_fall=0.75,4.247591941974087,4.654977049305343,,70.45494419017786
8,forage_dynamic_delta_rise=1.0_fall=1.0,4.24760259509142,4.654980181479416,,70.45494419017143
8,forage_random_baseline,0.0,0.0,,84.25088504432667
9,forage_dynamic_delta_rise=0.0_fall=0.0,8.19414832725486,3.785098651397281,,123.24616314917094
9,forage_dynamic_delta_rise=0.0_fall=0.25,8.267250337331356,3.8927654709538477,,121.85987498474928
9,forage_dynamic_delta_rise=0.0_fall=0.5,8.117076794510506,3.764494610041721,,120.5230378696056
9,forage_dynamic_delta_rise=0.0_fall=0.75,8.117089837134527,3.7644940449962903,,120.5230378696571
9,forage_dynamic_delta_rise=0.0_fall=1.0,8.238098485901212,3.5828949007906536,,121.19465898745365
9,forage_dynamic_delta_rise=0.25_fall=0.0,8.194133522486057,3.785099415002749,,123.24616314915397
9,forage_dynamic_delta_rise=0.25_fall=0.25,8.267253417351853,3.8927649349705526,,121.85987498476013
9,forage_dynamic_delta_rise=0.25_fall=0.5,8.117077047522848,3.7644960693512033,,120.52303786960336
9,forage_dynamic_delta_rise=0.25_fall=0.75,8.117078829343068,3.7644967163029843,,120.52303786960735
9,forage_dynamic_delta_rise=0.25_fall=1.0,8.238087966309214,3.582893613485912,,121.1946589874232
9,forage_dynamic_delta_rise=0.5_fall=0.0,8.266936994863471,4.663279733081477,,122.63486408307344
9,forage_dynamic_delta_rise=0.5_fall=0.25,8.37877536481241,4.748199772008248,,121.11540701807077
9,forage_dynamic_delta_rise=0.5_fall=0.5,8.17206633539859,4.360363162144102,,120.08024583300184
9,forage_dynamic_delta_rise=0.5_fall=0.75,8.172044206800553,4.360363636191896,,120.08024583299837
9,forage_dynamic_delta_rise=0.5_fall=1.0,8.238101811405052,3.5828939875221613,,121.19465898747843
9,forage_dynamic_delta_rise=0.75_fall=0.0,8.266918701178158,4.663279756672747,,122.634864083035
9,forage_dynamic_delta_rise=0.75_fall=0.25,8.378791189073851,4.748198276764916,,121.1154070181156
9,forage_dynamic_delta_rise=0.75_fall=0.5,8.172057365320532,4.360361773136639,,120.08024583298402
9,forage_dynamic_delta_rise=0.75_fall=0.75,8.172053808967995,4.360364313467488,,120.0802458329788
9,forage_dynamic_delta_rise=0.75_fall=1.0,8.238096245518612,3.582893360717391,,121.19465898745167
9,forage_dynamic_delta_rise=1.0_fall=0.0,8.031596950114858,4.592583164403822,,123.75009759881182
9,forage_dynamic_delta_rise=1.0_fall=0.25,8.133007522158156,4.6846219977633545,,122.24677510186156
9,forage_dynamic_delta_rise=1.0_fall=0.5,7.847040312360452,4.271249680984719,,122.5952700339638
9,forage_dynamic_delta_rise=1.0_fall=0.75,7.847029970415163,4.2712509376877374,,122.59527003395988
9,forage_dynamic_delta_rise=1.0_fall=1.0,8.23807888064526,3.582893816612511,,121.19465898741967
9,forage_random_baseline,0.0,0.0,,145.52425598565515
10,forage_dynamic_delta_rise=0.0_fall=0.0,5.3014183098142516,2.3998813058592035,,100.29303964823848
10,forage_dynamic_delta_rise=0.0_fall=0.25,5.301432776223696,2.399878928167463,,100.29303964826006
10,forage_dynamic_delta_rise=0.0_fall=0.5,5.460774122193662,2.302783458856181,,100.2239062722454
10,forage_dynamic_delta_rise=0.0_fall=0.75,5.615630006611842,2.617720661241182,,98.94873417322171
10,forage_dynamic_delta_rise=0.0_fall=1.0,5.615642829978819,2.6177214740305876,,98.94873417323232
10,forage_dynamic_delta_rise=0.25_fall=0.0,5.1254587206269,3.0303174644083155,,99.10293165122523
10,forage_dynamic_delta_rise=0.25_fall=0.25,5.125450827209326,3.0303214033077817,,99.10293165119549
10,forage_dynamic_delta_rise=0.25_fall=0.5,5.329168388444752,2.870660565092652,,99.11958854310909
10,forage_dynamic_delta_rise=0.25_fall=0.75,5.479141281018328,3.140940052944945,,97.6639061763267
10,forage_dynamic_delta_rise=0.25_fall=1.0,5.479135867216707,3.140939605790333,,97.66390617632182
10,forage_dynamic_delta_rise=0.5_fall=0.0,4.966819879387802,3.2565537804635216,,99.27339866842551
10,forage_dynamic_delta_rise=0.5_fall=0.25,4.966850897484201,3.2565484222296526,,99.27339866846033
10,forage_dynamic_delta_rise=0.5_fall=0.5,4.966835759974846,3.256551833177488,,99.2733986684088
10,forage_dynamic_delta_rise=0.5_fall=0.75,5.085852164919305,3.530489436220489,,97.72141002499475
10,forage_dynamic_delta_rise=0.5_fall=1.0,5.085855134677559,3.5304882471562875,,97.72141002499423
10,forage_dynamic_delta_rise=0.75_fall=0.0,4.966837248017909,3.2565467969446162,,99.27339866842105
10,forage_dynamic_delta_rise=0.75_fall=0.25,4.9668375505714595,3.25655139858602,,99.27339866841133
10,forage_dynamic_delta_rise=0.75_fall=0.5,4.9668262669005925,3.2565610469181774,,99.27339866844439
10,forage_dynamic_delta_rise=0.75_fall=0.75,5.085861202516595,3.5304942861776505,,97.7214100250183
10,forage_dynamic_delta_rise=0.75_fall=1.0,5.085863187858025,3.5304881652309916,,97.72141002500476
10,forage_dynamic_delta_rise=1.0_fall=0.0,4.943313161440238,3.7360745779119866,,98.81223815333576
10,forage_dynamic_delta_rise=1.0_fall=0.25,4.943309433521107,3.7360770150268126,,98.81223815332737
10,forage_dynamic_delta_rise=1.0_fall=0.5,4.943323748779538,3.736076463500292,,98.81223815337682
10,forage_dynamic_delta_rise=1.0_fall=0.75,5.078769842316237,3.974856361531423,,97.14858348242203
10,forage_dynamic_delta_rise=1.0_fall=1.0,5.078767739739407,3.9748550653145323,,97.14858348242558
10,forage_random_baseline,0.0,0.0,,107.22839914732485
1101,forage_dynamic_delta_rise=0.0_fall=0.0,10.168997614000148,3.071338587608348,,49.84357699275126
