Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
8,forage_dynamic_simdrop,4.283951489566984,3.1971372157121567,,73.65488000966003
8,forage_random_baseline,0.0,0.0,,84.25088504432667
9,forage_dynamic_simdrop,8.12269513495831,3.450783345428221,,121.69076569093698
9,forage_random_baseline,0.0,0.0,,145.52425598565515
10,forage_dynamic_simdrop,5.595878090079052,2.2894954116320823,,99.70364859102938
10,forage_random_baseline,0.0,0.0,,107.22839914732485
1101,forage_dynamic_simdrop,10.737681612585115,1.7152296021447686,,50.94934794993892
1101,forage_random_baseline,0.0,0.0,,61.27337094132848
1102,forage_dynamic_simdrop,7.756452130024538,2.175617137743014,,109.23174521958002
1102,forage_random_baseline,0.0,0.0,,122.54674188265697
1103,forage_dynamic_simdrop,-0.1426124861665162,1.563017995664447,,135.33806347637565
1103,forage_random_baseline,0.0,0.0,,137.86508461798908
1104,forage_dynamic_simdrop,-0.12292270699418952,1.2078822455995686,,166.57561679147423
1104,forage_random_baseline,0.0,0.0,,168.50177008865333
1105,forage_dynamic_simdrop,9.386333342516137,1.8753404214560367,,131.10306933170355
1105,forage_random_baseline,0.0,0.0,,153.1834273533212
1106,forage_dynamic_simdrop,9.858276195294806,1.9832876441173548,,55.19565328728166
1106,forage_random_baseline,0.0,0.0,,68.93254230899454
1107,forage_dynamic_simdrop,4.925001879532602,3.777489763427603,,108.62580746350142
1107,forage_random_baseline,0.0,0.0,,122.54674188265697
1108,forage_dynamic_simdrop,8.593721218332444,0.09304031609288398,,69.18354051990383
1108,forage_random_baseline,0.0,0.0,,76.5917136766606
1109,forage_dynamic_simdrop,3.246448131688192,2.906083781777152,,64.49546701044275
1109,forage_random_baseline,0.0,0.0,,68.93254230899454
1110,forage_dynamic_simdrop,5.864119984617,1.2131323987050304,,43.03071220845048
1110,forage_random_baseline,0.0,0.0,,45.955028205996356
1111,forage_dynamic_simdrop,6.997247474129005,3.1053459802119385,,93.59477958051505
1111,forage_random_baseline,0.0,0.0,,107.22839914732485
1112,forage_dynamic_simdrop,10.187483667440121,0.7995614410317153,,46.065763425049454
1112,forage_random_baseline,0.0,0.0,,53.61419957366242
1113,forage_dynamic_simdrop,4.658252451872489,1.8822493872289687,,102.6537918198613
1113,forage_random_baseline,0.0,0.0,,107.22839914732485
1114,forage_dynamic_simdrop,-0.1569927859056327,4.150894879101687,,73.56755352072406
1114,forage_random_baseline,0.0,0.0,,84.25088504432667
1123,forage_dynamic_simdrop,8.00073904159205,1.3939027976552276,,55.3453197066236
1123,forage_random_baseline,0.0,0.0,,61.27337094132848
1126,forage_dynamic_simdrop,10.643637965163148,1.4117743961361284,,64.63156520978869
1126,forage_random_baseline,0.0,0.0,,76.5917136766606
1135,forage_dynamic_simdrop,-0.10337222804150377,2.1337101073958977,,163.58950331815242
1135,forage_random_baseline,0.0,0.0,,168.50177008865333
1161,forage_dynamic_simdrop,9.498136820824342,1.6710309085202717,,130.9912842939866
1161,forage_random_baseline,0.0,0.0,,153.1834273533212
1162,forage_dynamic_simdrop,9.529764166358616,0.9799392707251345,,113.5804515115249
1162,forage_random_baseline,0.0,0.0,,130.20591325032302
1184,forage_dynamic_simdrop,6.741870483276516,2.6370422878958877,,120.95900494393005
1184,forage_random_baseline,0.0,0.0,,137.86508461798908
1185,forage_dynamic_simdrop,6.745649321164636,2.5657486629217763,,185.59236012066964
1185,forage_random_baseline,0.0,0.0,,206.79762692698364
1195,forage_dynamic_simdrop,-0.15631053191356525,2.94580831222337,,86.1745850947017
1195,forage_random_baseline,0.0,0.0,,91.91005641199273
1199,forage_dynamic_simdrop,10.18906399141829,2.3951590143200154,,87.51096684335586
1199,forage_random_baseline,0.0,0.0,,107.22839914732485
1201,forage_dynamic_simdrop,12.760750360242291,2.427126714602613,,55.871564221895895
1201,forage_random_baseline,0.0,0.0,,76.5917136766606
1202,forage_dynamic_simdrop,9.705297410791959,1.2750785858003126,,165.84689125958948
1202,forage_random_baseline,0.0,0.0,,191.47928419165152
1203,forage_dynamic_simdrop,9.981251381077827,1.9225179166938444,,74.6668670960813
1203,forage_random_baseline,0.0,0.0,,91.91005641199273
1204,forage_dynamic_simdrop,7.938206438780884,3.269045859874736,,85.28557625930351
1204,forage_random_baseline,0.0,0.0,,99.56922777965879
1205,forage_dynamic_simdrop,6.109920815944553,1.9335160466586436,,156.64178708098453
1205,forage_random_baseline,0.0,0.0,,168.50177008865333
1206,forage_dynamic_simdrop,8.505412826268829,1.4787627891165316,,108.99819536786381
1206,forage_random_baseline,0.0,0.0,,122.54674188265697
