Subject,Fluency_Item,Switch_Value,Switch_Method
8,fridge,2,simdrop
8,frig,0,simdrop
8,fun,1,simdrop
8,frisbee,0,simdrop
8,football,0,simdrop
8,foot,0,simdrop
8,funny,0,simdrop
8,filibuster,0,simdrop
8,frequent,0,simdrop
8,finally,1,simdrop
8,finish,2,simdrop
8,fridge,2,delta_rise=0.0_fall=0.0
8,frig,0,delta_rise=0.0_fall=0.0
8,fun,1,delta_rise=0.0_fall=0.0
8,frisbee,0,delta_rise=0.0_fall=0.0
8,football,0,delta_rise=0.0_fall=0.0
8,foot,0,delta_rise=0.0_fall=0.0
8,funny,1,delta_rise=0.0_fall=0.0
8,filibuster,1,delta_rise=0.0_fall=0.0
8,frequent,1,delta_rise=0.0_fall=0.0
8,finally,1,delta_rise=0.0_fall=0.0
8,finish,0,delta_rise=0.0_fall=0.0
8,fridge,2,delta_rise=0.0_fall=0.25
8,frig,0,delta_rise=0.0_fall=0.25
8,fun,1,delta_rise=0.0_fall=0.25
8,frisbee,0,delta_rise=0.0_fall=0.25
8,football,0,delta_rise=0.0_fall=0.25
8,foot,0,delta_rise=0.0_fall=0.25
8,funny,1,delta_rise=0.0_fall=0.25
8,filibuster,1,delta_rise=0.0_fall=0.25
8,frequent,1,delta_rise=0.0_fall=0.25
8,finally,1,delta_rise=0.0_fall=0.25
8,finish,0,delta_rise=0.0_fall=0.25
8,fridge,2,delta_rise=0.0_fall=0.5
8,frig,0,delta_rise=0.0_fall=0.5
8,fun,1,delta_rise=0.0_fall=0.5
8,frisbee,0,delta_rise=0.0_fall=0.5
8,football,0,delta_rise=0.0_fall=0.5
8,foot,0,delta_rise=0.0_fall=0.5
8,funny,1,delta_rise=0.0_fall=0.5
8,filibuster,1,delta_rise=0.0_fall=0.5
8,frequent,1,delta_rise=0.0_fall=0.5
8,finally,1,delta_rise=0.0_fall=0.5
8,finish,0,delta_rise=0.0_fall=0.5
8,fridge,2,delta_rise=0.0_fall=0.75
8,frig,0,delta_rise=0.0_fall=0.75
8,fun,1,delta_rise=0.0_fall=0.75
8,frisbee,0,delta_rise=0.0_fall=0.75
8,football,0,delta_rise=0.0_fall=0.75
8,foot,0,delta_rise=0.0_fall=0.75
8,funny,1,delta_rise=0.0_fall=0.75
8,filibuster,1,delta_rise=0.0_fall=0.75
8,frequent,1,delta_rise=0.0_fall=0.75
8,finally,1,delta_rise=0.0_fall=0.75
8,finish,0,delta_rise=0.0_fall=0.75
8,fridge,2,delta_rise=0.0_fall=1.0
8,frig,0,delta_rise=0.0_fall=1.0
8,fun,1,delta_rise=0.0_fall=1.0
8,frisbee,0,delta_rise=0.0_fall=1.0
8,football,0,delta_rise=0.0_fall=1.0
8,foot,0,delta_rise=0.0_fall=1.0
8,funny,1,delta_rise=0.0_fall=1.0
8,filibuster,1,delta_rise=0.0_fall=1.0
8,frequent,1,delta_rise=0.0_fall=1.0
8,finally,1,delta_rise=0.0_fall=1.0
8,finish,0,delta_rise=0.0_fall=1.0
8,fridge,2,delta_rise=0.25_fall=0.0
8,frig,0,delta_rise=0.25_fall=0.0
8,fun,1,delta_rise=0.25_fall=0.0
8,frisbee,1,delta_rise=0.25_fall=0.0
8,football,0,delta_rise=0.25_fall=0.0
8,foot,0,delta_rise=0.25_fall=0.0
8,funny,1,delta_rise=0.25_fall=0.0
8,filibuster,1,delta_rise=0.25_fall=0.0
8,frequent,1,delta_rise=0.25_fall=0.0
8,finally,1,delta_rise=0.25_fall=0.0
8,finish,0,delta_rise=0.25_fall=0.0
8,fridge,2,delta_rise=0.25_fall=0.25
8,frig,0,delta_rise=0.25_fall=0.25
8,fun,1,delta_rise=0.25_fall=0.25
8,frisbee,1,delta_rise=0.25_fall=0.25
8,football,0,delta_rise=0.25_fall=0.25
8,foot,0,delta_rise=0.25_fall=0.25
8,funny,1,delta_rise=0.25_fall=0.25
8,filibuster,1,delta_rise=0.25_fall=0.25
8,frequent,1,delta_rise=0.25_fall=0.25
8,finally,1,delta_rise=0.25_fall=0.25
8,finish,0,delta_rise=0.25_fall=0.25
8,fridge,2,delta_rise=0.25_fall=0.5
8,frig,0,delta_rise=0.25_fall=0.5
8,fun,1,delta_rise=0.25_fall=0.5
8,frisbee,1,delta_rise=0.25_fall=0.5
8,football,0,delta_rise=0.25_fall=0.5
8,foot,0,delta_rise=0.25_fall=0.5
8,funny,1,delta_rise=0.25_fall=0.5
8,filibuster,1,delta_rise=0.25_fall=0.5
8,frequent,1,delta_rise=0.25_fall=0.5
8,finally,1,delta_rise=0.25_fall=0.5
8,finish,0,delta_rise=0.25_fall=0.5
8,fridge,2,delta_rise=0.25_fall=0.75
8,frig,0,delta_rise=0.25_fall=0.75
8,fun,1,delta_rise=0.25_fall=0.75
8,frisbee,1,delta_rise=0.25_fall=0.75
8,football,0,delta_rise=0.25_fall=0.75
8,foot,0,delta_rise=0.25_fall=0.75
8,funny,1,delta_rise=0.25_fall=0.75
8,filibuster,1,delta_rise=0.25_fall=0.75
8,frequent,1,delta_rise=0.25_fall=0.75
8,finally,1,delta_rise=0.25_fall=0.75
8,finish,0,delta_rise=0.25_fall=0.75
8,fridge,2,delta_rise=0.25_fall=1.0
8,frig,0,delta_rise=0.25_fall=1.0
8,fun,1,delta_rise=0.25_fall=1.0
8,frisbee,1,delta_rise=0.25_fall=1.0
8,football,0,delta_rise=0.25_fall=1.0
8,foot,0,delta_rise=0.25_fall=1.0
8,funny,1,delta_rise=0.25_fall=1.0
8,filibuster,1,delta_rise=0.25_fall=1.0
8,frequent,1,delta_rise=0.25_fall=1.0
8,finally,1,delta_rise=0.25_fall=1.0
8,finish,0,delta_rise=0.25_fall=1.0
8,fridge,2,delta_rise=0.5_fall=0.0
8,frig,0,delta_rise=0.5_fall=0.0
8,fun,1,delta_rise=0.5_fall=0.0
8,frisbee,1,delta_rise=0.5_fall=0.0
8,football,0,delta_rise=0.5_fall=0.0
8,foot,0,delta_rise=0.5_fall=0.0
8,funny,1,delta_rise=0.5_fall=0.0
8,filibuster,1,delta_rise=0.5_fall=0.0
8,frequent,1,delta_rise=0.5_fall=0.0
8,finally,1,delta_rise=0.5_fall=0.0
8,finish,0,delta_rise=0.5_fall=0.0
8,fridge,2,delta_rise=0.5_fall=0.25
8,frig,0,delta_rise=0.5_fall=0.25
8,fun,1,delta_rise=0.5_fall=0.25
8,frisbee,1,delta_rise=0.5_fall=0.25
8,football,0,delta_rise=0.5_fall=0.25
8,foot,0,delta_rise=0.5_fall=0.25
8,funny,1,delta_rise=0.5_fall=0.25
8,filibuster,1,delta_rise=0.5_fall=0.25
8,frequent,1,delta_rise=0.5_fall=0.25
8,finally,1,delta_rise=0.5_fall=0.25
8,finish,0,delta_rise=0.5_fall=0.25
8,fridge,2,delta_rise=0.5_fall=0.5
8,frig,0,delta_rise=0.5_fall=0.5
8,fun,1,delta_rise=0.5_fall=0.5
8,frisbee,1,delta_rise=0.5_fall=0.5
8,football,0,delta_rise=0.5_fall=0.5
8,foot,0,delta_rise=0.5_fall=0.5
8,funny,1,delta_rise=0.5_fall=0.5
8,filibuster,1,delta_rise=0.5_fall=0.5
8,frequent,1,delta_rise=0.5_fall=0.5
8,finally,1,delta_rise=0.5_fall=0.5
8,finish,0,delta_rise=0.5_fall=0.5
8,fridge,2,delta_rise=0.5_fall=0.75
8,frig,0,delta_rise=0.5_fall=0.75
8,fun,1,delta_rise=0.5_fall=0.75
8,frisbee,1,delta_rise=0.5_fall=0.75
8,football,0,delta_rise=0.5_fall=0.75
8,foot,0,delta_rise=0.5_fall=0.75
8,funny,1,delta_rise=0.5_fall=0.75
8,filibuster,1,delta_rise=0.5_fall=0.75
8,frequent,1,delta_rise=0.5_fall=0.75
8,finally,1,delta_rise=0.5_fall=0.75
8,finish,0,delta_rise=0.5_fall=0.75
8,fridge,2,delta_rise=0.5_fall=1.0
8,frig,0,delta_rise=0.5_fall=1.0
8,fun,1,delta_rise=0.5_fall=1.0
8,frisbee,1,delta_rise=0.5_fall=1.0
8,football,0,delta_rise=0.5_fall=1.0
8,foot,0,delta_rise=0.5_fall=1.0
8,funny,1,delta_rise=0.5_fall=1.0
8,filibuster,1,delta_rise=0.5_fall=1.0
8,frequent,1,delta_rise=0.5_fall=1.0
8,finally,1,delta_rise=0.5_fall=1.0
8,finish,0,delta_rise=0.5_fall=1.0
8,fridge,2,delta_rise=0.75_fall=0.0
8,frig,0,delta_rise=0.75_fall=0.0
8,fun,1,delta_rise=0.75_fall=0.0
