Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
8.0,0.38387706288619977,0.13391445636763508,6.593947045676268,0.9575573025582359,13.0,delta_rise=0.0_fall=0.0,6,2.1666666666666665,0.6871842709362768
8.0,,,,,,delta_rise=0.0_fall=0.25,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.0_fall=0.5,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.0_fall=0.75,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.0_fall=1.0,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.25_fall=0.0,7,1.8571428571428572,0.8329931278350429
8.0,,,,,,delta_rise=0.25_fall=0.25,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.25_fall=0.5,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.25_fall=0.75,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.25_fall=1.0,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.5_fall=0.0,7,1.8571428571428572,0.8329931278350429
8.0,,,,,,delta_rise=0.5_fall=0.25,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.5_fall=0.5,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.5_fall=0.75,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.5_fall=1.0,5,2.6,1.019803902718557
8.0,,,,,,delta_rise=0.75_fall=0.0,8,1.625,0.8569568250501305
8.0,,,,,,delta_rise=0.75_fall=0.25,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=0.75_fall=0.5,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=0.75_fall=0.75,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=0.75_fall=1.0,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=1.0_fall=0.0,8,1.625,0.8569568250501305
8.0,,,,,,delta_rise=1.0_fall=0.25,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=1.0_fall=0.5,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=1.0_fall=0.75,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,delta_rise=1.0_fall=1.0,6,2.1666666666666665,1.2133516482134197
8.0,,,,,,simdrop,4,2.6,0.4898979485566356
9.0,0.3016570449535247,0.08343522234431311,6.301501319853612,0.9695948687497921,20.0,delta_rise=0.0_fall=0.0,11,1.6666666666666667,0.6236095644623235
9.0,,,,,,delta_rise=0.0_fall=0.25,11,1.6666666666666667,0.6236095644623235
9.0,,,,,,delta_rise=0.0_fall=0.5,10,1.8181818181818181,0.7158188976374374
9.0,,,,,,delta_rise=0.0_fall=0.75,7,2.5,1.118033988749895
9.0,,,,,,delta_rise=0.0_fall=1.0,7,2.5,1.118033988749895
9.0,,,,,,delta_rise=0.25_fall=0.0,11,1.6666666666666667,0.6236095644623235
9.0,,,,,,delta_rise=0.25_fall=0.25,11,1.6666666666666667,0.6236095644623235
