Subject,Fluency_Item,Switch_Value,Switch_Method
8,snake,2,simdrop
8,slither,0,simdrop
8,sun,1,simdrop
8,sunflower,0,simdrop
8,seeds,0,simdrop
8,sand,1,simdrop
8,sea,0,simdrop
8,seashells,1,simdrop
8,shell,0,simdrop
8,silly,1,simdrop
8,sun,0,simdrop
8,sew,0,simdrop
8,silver,2,simdrop
8,snake,2,delta_rise=0.0_fall=0.0
8,slither,0,delta_rise=0.0_fall=0.0
8,sun,1,delta_rise=0.0_fall=0.0
8,sunflower,0,delta_rise=0.0_fall=0.0
8,seeds,0,delta_rise=0.0_fall=0.0
8,sand,1,delta_rise=0.0_fall=0.0
8,sea,0,delta_rise=0.0_fall=0.0
8,seashells,1,delta_rise=0.0_fall=0.0
8,shell,0,delta_rise=0.0_fall=0.0
8,silly,1,delta_rise=0.0_fall=0.0
8,sun,0,delta_rise=0.0_fall=0.0
8,sew,1,delta_rise=0.0_fall=0.0
8,silver,1,delta_rise=0.0_fall=0.0
8,snake,2,delta_rise=0.0_fall=0.25
8,slither,0,delta_rise=0.0_fall=0.25
8,sun,1,delta_rise=0.0_fall=0.25
8,sunflower,0,delta_rise=0.0_fall=0.25
8,seeds,0,delta_rise=0.0_fall=0.25
8,sand,1,delta_rise=0.0_fall=0.25
8,sea,0,delta_rise=0.0_fall=0.25
8,seashells,0,delta_rise=0.0_fall=0.25
8,shell,0,delta_rise=0.0_fall=0.25
8,silly,1,delta_rise=0.0_fall=0.25
8,sun,0,delta_rise=0.0_fall=0.25
8,sew,1,delta_rise=0.0_fall=0.25
8,silver,1,delta_rise=0.0_fall=0.25
8,snake,2,delta_rise=0.0_fall=0.5
8,slither,0,delta_rise=0.0_fall=0.5
8,sun,1,delta_rise=0.0_fall=0.5
8,sunflower,0,delta_rise=0.0_fall=0.5
8,seeds,0,delta_rise=0.0_fall=0.5
8,sand,1,delta_rise=0.0_fall=0.5
8,sea,0,delta_rise=0.0_fall=0.5
8,seashells,0,delta_rise=0.0_fall=0.5
8,shell,0,delta_rise=0.0_fall=0.5
8,silly,1,delta_rise=0.0_fall=0.5
8,sun,0,delta_rise=0.0_fall=0.5
8,sew,1,delta_rise=0.0_fall=0.5
8,silver,1,delta_rise=0.0_fall=0.5
8,snake,2,delta_rise=0.0_fall=0.75
8,slither,0,delta_rise=0.0_fall=0.75
8,sun,1,delta_rise=0.0_fall=0.75
8,sunflower,0,delta_rise=0.0_fall=0.75
8,seeds,0,delta_rise=0.0_fall=0.75
8,sand,1,delta_rise=0.0_fall=0.75
8,sea,0,delta_rise=0.0_fall=0.75
8,seashells,0,delta_rise=0.0_fall=0.75
8,shell,0,delta_rise=0.0_fall=0.75
8,silly,1,delta_rise=0.0_fall=0.75
8,sun,0,delta_rise=0.0_fall=0.75
8,sew,1,delta_rise=0.0_fall=0.75
8,silver,1,delta_rise=0.0_fall=0.75
8,snake,2,delta_rise=0.0_fall=1.0
8,slither,0,delta_rise=0.0_fall=1.0
8,sun,1,delta_rise=0.0_fall=1.0
8,sunflower,0,delta_rise=0.0_fall=1.0
8,seeds,0,delta_rise=0.0_fall=1.0
8,sand,1,delta_rise=0.0_fall=1.0
8,sea,0,delta_rise=0.0_fall=1.0
8,seashells,0,delta_rise=0.0_fall=1.0
8,shell,0,delta_rise=0.0_fall=1.0
8,silly,1,delta_rise=0.0_fall=1.0
8,sun,0,delta_rise=0.0_fall=1.0
8,sew,1,delta_rise=0.0_fall=1.0
8,silver,1,delta_rise=0.0_fall=1.0
8,snake,2,delta_rise=0.25_fall=0.0
8,slither,0,delta_rise=0.25_fall=0.0
8,sun,1,delta_rise=0.25_fall=0.0
8,sunflower,0,delta_rise=0.25_fall=0.0
8,seeds,0,delta_rise=0.25_fall=0.0
8,sand,1,delta_rise=0.25_fall=0.0
8,sea,0,delta_rise=0.25_fall=0.0
8,seashells,1,delta_rise=0.25_fall=0.0
8,shell,1,delta_rise=0.25_fall=0.0
8,silly,1,delta_rise=0.25_fall=0.0
8,sun,0,delta_rise=0.25_fall=0.0
8,sew,1,delta_rise=0.25_fall=0.0
8,silver,1,delta_rise=0.25_fall=0.0
8,snake,2,delta_rise=0.25_fall=0.25
8,slither,0,delta_rise=0.25_fall=0.25
8,sun,1,delta_rise=0.25_fall=0.25
8,sunflower,0,delta_rise=0.25_fall=0.25
8,seeds,0,delta_rise=0.25_fall=0.25
8,sand,1,delta_rise=0.25_fall=0.25
8,sea,0,delta_rise=0.25_fall=0.25
8,seashells,0,delta_rise=0.25_fall=0.25
8,shell,0,delta_rise=0.25_fall=0.25
8,silly,1,delta_rise=0.25_fall=0.25
8,sun,0,delta_rise=0.25_fall=0.25
8,sew,1,delta_rise=0.25_fall=0.25
8,silver,1,delta_rise=0.25_fall=0.25
8,snake,2,delta_rise=0.25_fall=0.5
8,slither,0,delta_rise=0.25_fall=0.5
8,sun,1,delta_rise=0.25_fall=0.5
8,sunflower,0,delta_rise=0.25_fall=0.5
8,seeds,0,delta_rise=0.25_fall=0.5
8,sand,1,delta_rise=0.25_fall=0.5
8,sea,0,delta_rise=0.25_fall=0.5
8,seashells,0,delta_rise=0.25_fall=0.5
8,shell,0,delta_rise=0.25_fall=0.5
8,silly,1,delta_rise=0.25_fall=0.5
8,sun,0,delta_rise=0.25_fall=0.5
